"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0214^1","TMO‑Non","TMO‑Non","+2.91","UNK‑Non","TMO‑Non"
"SLH0215^1","+0.42","+0.50","+1.35","1.41","UNK‑Non"
"SLH0216^1","+1.19","+0.85","+1.02","2.21","TMO‑Non"
"SLH0217^1","+0.93","+0.60","+1.12","7.77","TMO‑Non"
"SLH0218^1","+0.40","+0.28","+0.34","7.56","TMO‑Non"
"SLH0219^1","+1.86","+2.18","+0.42","TMO‑Non","TMO‑Non"
"SLH0220^1","TMO‑Non","TMO‑Non","+10.13","UNK‑Non","TMO‑Non"
"SLH0221^1","+1.00","+0.80","+0.65","UNK‑Non","TMO‑Non"
"SLH0222^1","+0.61","+0.45","+0.41","0.95","TMO‑Non"
"SLH0223^1","+0.34","+0.36","+1.61","TMO‑Non","TMO‑Non"
"SLH0224^1","+1.08","+0.85","+1.44","UNK‑Non","TMO‑Non"
"SLH0225^1","+0.67","+1.65","+4.58","2.46","TMO‑Non"
"SLH0226^1","+0.48","+0.51","+1.10","UNK‑Non","TMO‑Non"
"SLH0227^1","+0.46","+0.43","+0.99","1.62","TMO‑Non"
"SLH0228^1","+0.57","+0.44","+0.37","1.14","12.47"
"SLH0229^1","+2.08","+1.60","+1.13","1.07","TMO‑Non"
"SLH0230^1","+5.23","+2.92","+2.19","1.41","TMO‑Non"
"SLH0231^1","+5.40","+8.60","+0.43","1.50","TMO‑Non"
"SLH0232^1","+1.61","+0.92","+1.05","2.31","TMO‑Non"
"SLH0233^1","+4.52","+5.36","+1.10","TMO‑Non","TMO‑Non"
"SLH0234^1","+0.31","+0.41","+1.05","TMO‑Non","TMO‑Non"
"SLH0235^1","+0.42","+0.41","+1.30","TMO‑Non","TMO‑Non"
"SLH0236^1","+5.68","+10.15","+1.01","1.02","TMO‑Non"
"SLH0237^1","+0.46","+0.37","+10.08","7.71","TMO‑Non"
"SLH0238^1","+0.52","+0.41","+1.12","TMO‑Non","TMO‑Non"
"SLH0239^1","+1.14","+0.93","+0.99","7.84","6.40"
"SLH0240^1","+1.49","+1.25","+3.00","1.42","TMO‑Non"
"SLH0241^1","+0.50","+0.43","+10.93","UNK‑Non","TMO‑Non"
"SLH0242^1","TMO‑Non","TMO‑Non","+9.65","UNK‑Non","TMO‑Non"
"SLH0243^1","+2.17","+3.45","+2.08","1.33","TMO‑Non"
"SLH0244^1","TMO‑Non","TMO‑Non","+3.09","1.86","TMO‑Non"
"SLH0245^1","+0.36","+0.37","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0246^1","+1.01","+0.49","+0.91","1.22","TMO‑Non"
"SLH0247^1","+0.59","+0.49","+0.47","8.89","UNK‑Non"
"SLH0248^1","+0.47","+0.44","UNK‑Non","TMO‑Non","UNK‑Non"
"SLH0249^1","+2.60","+3.44","+1.98","1.40","TMO‑Non"
"SLH0250^1","+3.23","TMO‑Non","+1.50","1.54","TMO‑Non"
"SLH0251^1","+0.45","+0.35","+0.82","4.05","TMO‑Non"
"SLH0252^1","+0.24","+0.51","+1.12","3.46","9.43"
"SLH0253^1","+2.75","+2.40","+1.09","TMO‑Non","TMO‑Non"
"SLH0254^1","+1.07","+0.61","+0.98","TMO‑Non","TMO‑Non"
"SLH0255^1","+0.39","+0.07","+1.04","UNK‑Non","UNK‑Non"
"SLH0256^1","+4.51","+12.86","+1.27","4.71","TMO‑Non"
"SLH0257^1","+0.36","+0.44","+0.39","UNK‑Non","TMO‑Non"
"SLH0258^1","+0.34","+0.30","+0.38","UNK‑Non","TMO‑Non"
"SLH0259^1","+0.58","+0.45","+1.05","UNK‑Non","TMO‑Non"
"SLH0260^1","+3.37","+2.66","+2.12","1.76","TMO‑Non"
"SLH0261^1","+1.33","+1.46","+2.50","7.73","TMO‑Non"
"SLH0262^1","+0.57","+0.45","+1.25","TMO‑Non","14.83"
"SLH0263^1","+0.48","+0.44","+1.44","UNK‑Non","TMO‑Non"
"SLH0264^1","TMO‑Non","TMO‑Non","+12.94","UNK‑Non","TMO‑Non"
"SLH0265^1","+1.29","+0.96","+0.40","UNK‑Non","TMO‑Non"
