phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,9,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,10,0,1439,6,5,9.64605629712051,6.2775231594344225,216.56521739130434,39.271875,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,10,4,900,4,4,9.073803551089918,6.01755122606651,154.01111111111112,19.922499189510464,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,10,8,629,4,4,7.542388966860555,6.155342175929693,154.01111111111112,13.544852192062953,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,10,16,211,2,2,13.52470131787345,5.597401830528491,87.03522504892368,57.43567316220361,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,10,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,11,0,1232,6,5,9.40626651615343,6.242935710221885,216.56521739130434,42.290625,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,11,4,851,4,4,8.844914125465117,6.155405405405405,154.01111111111112,19.722702029267055,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,11,8,583,4,4,7.263710045822156,6.1536728618553385,154.01111111111112,14.530061469999737,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,11,16,195,2,2,13.200225551920663,5.502856163601051,87.03522504892368,60.46838048935487,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,11,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,12,0,874,6,5,10.563522440465368,6.965767533104463,216.56521739130434,41.528125,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,12,4,710,4,4,10.207393355106218,7.152904328018224,154.01111111111112,22.616805413415793,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,12,8,450,4,4,8.197428113763399,6.939955203308063,154.01111111111112,12.723005145419686,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,12,16,168,2,2,11.95918808564673,5.0813904420297495,86.0,60.42986369268897,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,12,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,2,0,6822,15,12,12.334389490820067,9.59245960502693,56.875757575757575,22.719334719334718,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,2,4,3987,14,11,11.843496872307888,7.9835911861228315,84.03965517241379,17.203509701678513,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,2,8,2355,10,8,11.10980909249253,7.088458798385181,122.6217008797654,16.273108691324452,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,2,16,612,8,6,16.80800596123529,8.629637481450073,176.768574908648,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,2,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,3,0,6800,15,12,12.32956050901981,9.57107678531453,96.4875,22.719334719334718,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,3,4,3987,14,11,11.843496872307888,7.9835911861228315,84.03965517241379,17.203509701678513,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,3,8,2355,10,8,11.10980909249253,7.088458798385181,122.6217008797654,16.273108691324452,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,3,16,612,8,6,16.80800596123529,8.629637481450073,176.768574908648,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,3,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,4,4,0,6692,15,12,12.309806522092376,9.498567335243553,114.9,22.719334719334718,61976,True,False
