"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"CSR050+5","+36.41","+24.34","+24.77","+21.83","+155.91","TMO","TMO","+173.00","GUP","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"SCT117+1","+1.82","+0.54","+23.84","+135.62","+50.28","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SCT115+1","+1.75","+1.25","+20.44","+135.51","TMO","UNK","+22.54","+11.61","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV581+1","+2.71","+0.55","TMO","TMO","+164.62","UNK","TMO","+162.81","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"LCL898+1","+2.61","TMO","+20.55","+0.92","TMO","UNK","TMO","TMO","TMO","UNK","+11.31","UNK","UNK","TMO","UNK","TMO","GUP"
"SWV467+1","+1.77","+0.54","TMO","TMO","+5.92","+134.56","TMO","TMO","TMO","TMO","+107.15","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB027+1","+1.72","+0.69","+0.47","+0.56","+69.53","+3.69","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWX241_1*","+39.28","+0.78","+0.91","+1.03","+149.47","UNK","+97.12","+169.94","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV609+1*","+2.88","+0.66","+2.53","+3.35","+5.54","+12.96","+65.99","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV607+1*","+30.95","+3.90","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV660+1*","+3.57","+0.76","+0.72","+0.75","+2.01","+4.05","+8.94","+125.11","UNK","TMO","TMO","TMO","+12.59","TMO","UNK","TMO","GUP"
"NUM694+4","+4.23","+2.34","+2.33","+3.64","+97.25","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"ITP020+4","+12.54","+14.45","+18.47","+41.74","TMO","TMO","TMO","TMO","TMO","UNK","TMO","+19.22","UNK","TMO","UNK","TMO","GUP"
"ITP012+5","+5.61","+7.21","+17.66","+23.73","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"SYN076+1","+39.08","+8.57","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWW937+1","+1.53","+2.88","+4.76","+3.70","+52.83","+50.18","TMO","TMO","TMO","TMO","+146.65","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV563+1","+1.72","+3.32","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB055+1","+1.58","+0.62","+71.90","+4.67","+7.02","+101.00","+9.30","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO514+1","+2.44","+0.74","TMO","TMO","TMO","UNK","TMO","+38.05","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWX194+1*","+112.66","TMO","TMO","TMO","TMO","UNK","TMO","+83.88","+11.17","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV612+1*","+13.02","+1.42","+6.19","+7.93","+64.56","UNK","+9.95","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP"
"SEV621+1*","+2.77","+1.34","+2.98","+7.12","+4.47","+54.52","TMO","+11.93","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV616+1*","+7.55","+2.71","+0.79","+1.58","+99.44","UNK","+18.64","TMO","UNK","TMO","TMO","TMO","+50.43","TMO","UNK","TMO","GUP"
"SWX209+1*","+29.64","+3.94","+41.52","+77.84","TMO","+22.90","+169.25","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWX210+1*","+17.48","+3.92","+61.31","+46.62","TMO","UNK","+161.45","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWX212+1*","+17.82","+37.85","+17.92","+29.32","TMO","+87.80","+88.43","+76.85","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV641+1*","+2.67","+1.44","+38.55","+55.22","+8.91","+30.59","+27.97","TMO","UNK","TMO","TMO","UNK","+136.39","TMO","UNK","TMO","GUP"
"ITP004+4","+3.81","+3.80","+79.69","+72.87","+115.95","UNK","+12.48","+130.35","+6.31","UNK","TMO","+4.87","UNK","TMO","UNK","+35.68","GUP"
"GEO513+1","+8.42","+1.23","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO337+1","+4.03","+1.63","TMO","TMO","+58.19","UNK","TMO","+0.99","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"LAT287+3","+4.14","+2.08","+8.11","+60.14","TMO","+41.80","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWB093+1","+2.59","+2.34","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"AGT022+1","+2.01","+4.68","TMO","TMO","+38.52","UNK","TMO","+121.15","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWX051+1","+3.53","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","+22.52","TMO","UNK","TMO","GUP"
"SEV634+1*","+12.49","+1.37","TMO","TMO","+122.90","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
